
--- CUT TABLE 18 ---
0,1,2,3,4,5,6,7,8
,,,,,,,,
,1.0,Ban giám đốc,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,http://hanoi.edu.vn,sogiaoduc@hanoiedu.vn
,2.0,Văn phòng Sở,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,,vanphongso@hanoiedu.vn
,3.0,Phòng Tổ chức cán bộ,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,,tccb@hanoiedu.vn
,4.0,Phòng Kế hoạch tài chính,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,,,kh-tc@hanoiedu.vn
,5.0,Phòng Quản lý thi và Kiểm định chất lượng giáo dục,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,,,qlt-kdcl@hanoiedu.vn
,6.0,"Phòng Chính trị, tư tưởng và Công tác học sinh, sinh viên",Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,,,cttt@hanoiedu.vn
,7.0,Phòng Giáo dục mầm non,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,,gdmamnon@hanoiedu.vn
,8.0,Phòng Giáo dục tiểu học,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,,,gdtieuhoc@hanoiedu.vn
,9.0,Phòng Giáo dục trung học,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,,,gdtrunghoc@hanoiedu.vn
,10.0,"Phòng Giáo dục thường xuyên, giáo dục nghề nghiệp và Đại học",Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,,gdthuongxuyen@hanoiedu.vn
,11.0,Phòng Giáo dục tư thục và có yếu tố nước ngoài,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,SỞ GIÁO DỤC VÀ ĐÀO TẠO,Phường Cửa Nam,,gdnuocngoai@hanoiedu.vn
,12.0,Phòng Kiểm tra chuyên ngành,Công lập,SỞ GIÁO DỤC VÀ ĐÀO TẠO Hà Nội,,Phường Cửa Nam,,kiemtrachuyennganh@hanoiedu.vn

